"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Mar 19 14:06:25 GMT 2023","Sun Mar 19 14:06:55 GMT 2023","30004","","test","","","","Тест 3","Тест 3"
"broken","Sun Mar 19 14:04:55 GMT 2023","Sun Mar 19 14:05:10 GMT 2023","15257","","test","","","","Тест 2","Тест 2"
"broken","Sun Mar 19 14:08:10 GMT 2023","Sun Mar 19 14:08:40 GMT 2023","30007","","test","","","","Тест 4","Тест 4"
"broken","Sun Mar 19 14:03:39 GMT 2023","Sun Mar 19 14:04:09 GMT 2023","30509","","test","","","","Тест 1","Тест 1"
